n,uid,color,color_app,serial,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,payload,rssi,uptime_ms
1,04F686A2CC2190,RED,1,1133,2,9,222,109,4,10,0,117,133,1,132,22,0209DE6D040A007585018416,-58,256587
2,04B21582871F90,MAGENTA,8,2312,2,1,6,8,9,255,0,47,132,95,113,152,0201060809FF002F845F7198,-53,289832
3,043ABAA2CC2191,RED,1,1779,2,9,227,243,6,255,0,185,132,195,211,173,0209E3F306FF00B984C3D3AD,-55,295298
4,0449E992871F91,PURPLE,6,6040,2,2,251,152,23,255,0,196,131,3,152,187,0202FB9817FF00C4830398BB,-54,298808
5,04403282871F91,ORANGE,9,7576,2,8,32,152,29,255,0,221,131,60,183,199,020820981DFF00DD833CB7C7,-54,301927
6,049FA97ACC2190,MAGENTA,8,1128,2,1,241,104,4,255,0,196,131,122,20,213,0201F16804FF00C4837A14D5,-55,305414
7,0419AA7ACC2190,MAGENTA,8,1133,3,1,242,109,4,0,0,66,131,172,238,217,0301F26D0400004283ACEED9,-56,308896
8,045BC57ACC2191,PURPLE,6,1128,2,2,156,104,4,255,0,0,131,243,6,239,02029C6804FF000083F306EF,-53,312006
9,04DE217ACC2190,ORANGE,9,1126,2,8,121,102,4,255,0,133,131,47,250,251,0208796604FF0085832FFAFB,-55,315301
10,043DDB82871F90,ORANGE,9,7552,3,8,200,128,29,0,0,160,131,89,64,255,0308C8801D0000A0835940FF,-55,318438
11,04BB7F7ACC2190,MAGENTA,8,1127,3,1,39,103,4,0,0,224,131,145,101,11,03012767040000E08391650B,-51,321556
12,04500592871F94,ORANGE,9,9430,3,8,18,214,36,0,0,221,131,198,190,22,030812D6240000DD83C6BE16,-51,324473
13,049F1D7ACC2190,PURPLE,6,1133,3,2,69,109,4,0,0,196,131,255,251,34,0302456D040000C483FFFB22,-51,327594
14,04242372871F91,MAGENTA,8,2306,3,1,49,2,9,0,0,73,132,56,39,47,03013102090000498438272F,-47,330714
15,04772A72871F90,PURPLE,6,5186,2,2,57,66,20,255,0,26,131,126,183,67,0202394214FF001A837EB743,-53,333661
16,0438BF82871F90,MAGENTA,8,2014,3,1,172,222,7,0,0,165,132,167,235,70,0301ACDE070000A584A7EB46,-53,336790
17,0412D392871F90,ORANGE,9,7561,2,8,192,137,29,255,0,159,131,100,220,116,0208C0891DFF009F8364DC74,-53,346312
18,040D58DA0E1E91,BLUE,3,1003,2,3,195,235,3,255,0,201,131,161,251,129,0203C3EB03FF00C983A1FB81,-53,349609
19,0433298ACC2195,PURPLE,6,1127,2,2,116,103,4,255,0,152,131,247,132,148,0202746704FF009883F78494,-53,354370
20,044E368AD41491,BLUE,3,21,2,3,119,21,0,255,0,208,131,44,224,159,0203771500FF00D0832CE09F,-52,357290
21,04B9138AD41490,YELLOW,2,2,3,7,83,2,0,0,0,39,132,91,120,164,0307530200000027845B78A4,-52,360768
22,0468F582871F91,MAGENTA,8,2280,3,1,231,232,8,0,0,245,132,151,101,177,0301E7E8080000F5849765B1,-47,364059
23,04C64B72DB1F90,BLUE,3,1392,3,3,4,112,5,0,0,171,132,213,215,190,03030470050000AB84D5D7BE,-50,367512
24,0487FC92871F90,PURPLE,6,6081,3,2,239,193,23,0,0,10,132,25,104,205,0302EFC11700000A841968CD,-56,371220
25,043FCA92871F91,MAGENTA,8,7036,2,1,216,124,27,255,0,178,130,103,40,227,0201D87C1BFF00B2826728E3,-54,374521
26,046CCA92871F91,MAGENTA,8,2326,3,1,216,22,9,0,0,225,131,139,211,229,0301D816090000E1838BD3E5,-56,377482
27,04053982871F91,PURPLE,6,6048,3,2,43,160,23,0,0,152,131,196,8,242,03022BA01700009883C408F2,-47,380605
28,04F12C8AD41490,PURPLE,6,49,3,2,108,49,0,0,0,111,131,254,64,254,03026C310000006F83FE40FE,-50,383752
29,0454B392871F90,ORANGE,9,7604,3,8,160,180,29,0,0,217,131,26,117,57,0308A0B41D0000D9831A7539,-61,146738
30,04B6A9A2CC2190,RED,1,1126,2,9,241,102,4,255,0,53,129,24,2,165,0209F16604FF0035811802A5,-62,173747
31,04601E82871F94,ORANGE,9,7551,3,8,9,127,29,0,0,253,131,23,119,13,0308097F1D0000FD8317770D,-55,104591
32,043FCC82871F91,ORANGE,9,7583,3,8,222,159,29,0,0,162,131,91,89,28,0308DE9F1D0000A2835B591C,-58,108431
33,04389A7ACC2191,PURPLE,6,1131,3,2,195,107,4,0,0,99,131,147,69,40,0302C36B0400006383934528,-53,111422
34,043F8A82871F90,PURPLE,6,6049,2,2,153,161,23,255,0,162,130,223,78,58,020299A117FF00A282DF4E3A,-68,114959
35,042DBEA2CC2190,GREEN,5,1133,3,6,230,109,4,0,0,174,130,9,200,65,0306E66D040000AE8209C841,-54,117951
36,04F10B7ACC2190,ORANGE,9,1133,3,8,83,109,4,0,0,170,130,80,238,80,0308536D040000AA8250EE50,-57,121871
37,04819AB2CC2190,YELLOW,2,1126,2,7,194,102,4,255,0,18,129,169,153,101,0207C26604FF001281A99965,-69,126142
38,04DB0982871F94,MAGENTA,8,2287,3,1,30,239,8,0,0,70,130,228,227,112,03011EEF0800004682E4E370,-54,130047
39,043EF192871F90,MAGENTA,8,2355,3,1,226,51,9,0,0,179,130,76,249,189,0301E233090000B3824CF9BD,-55,149743
